timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
,,,,,,
14:38:17.558Z,-0.1067797095,9.419346809,2.639881611,-0.003062632866,-0.003062632866,-0.04580633715
14:38:17.577Z,-0.1671984792,9.508479118,2.588435888,0.00319579104,-0.009187898599,-0.04380896688
14:38:17.592Z,-0.1827518344,9.595218658,2.563311338,0.008655266836,0.04021370411,-0.02569948509
14:38:17.629Z,0.02273181453,9.507282257,2.239382982,-0.03888212144,-0.03115896136,-0.01877527125
14:38:17.661Z,-0.07417750359,9.462118149,2.801995277,-0.04886896908,0.002929474926,-0.02783001214
14:38:17.697Z,-0.1752742529,9.336494446,2.684448004,-0.003462106921,-0.01677790284,-0.02077264152
14:38:17.708Z,-0.1483550072,9.31525898,2.607578516,0.02170474641,0.002663159044,-0.01251684781
14:38:17.726Z,-0.07746763527,9.363413811,2.713161707,0.03009369783,-0.001997369342,-0.006125265732
14:38:17.746Z,-0.03080759197,9.518947601,2.756830692,0.03275685757,-0.0209057983,-0.004394212738
14:38:17.756Z,-0.1405783296,9.529715538,2.601895571,0.05286370963,-0.004127896391,-0.01744369231
14:38:17.776Z,-0.2276172489,9.425328255,2.560320139,0.07669898123,-0.01065263618,-0.01904158667
14:38:17.796Z,-0.1256231815,9.347860336,2.607279301,0.07270424068,-0.01025316212,-0.007989477366
14:38:17.808Z,-0.07866404206,9.346364975,2.539083958,0.07789740711,-0.03422159329,0.005326318089
14:38:17.845Z,-0.01256231871,9.36550808,2.523829699,0.07843003422,-0.05392897129,0.006524739787
14:38:17.856Z,0.08195417374,9.301200867,2.64825654,0.08948214352,-0.02330264263,0.002130527282
14:38:17.876Z,-0.08943174779,9.297611237,2.564507723,0.1133174226,-0.05366265774,0.00173105346
14:38:17.911Z,0.0326022096,9.413064957,2.389233351,0.1177116334,-0.07084003091,0.008122635074
14:38:17.925Z,-0.03649054468,9.37328434,2.471486807,0.1326253265,-0.05592634156,-0.008122635074
14:38:17.944Z,-0.1304088384,9.322137833,2.703889608,0.1267663687,-0.01597895473,-0.009986846708
14:38:17.954Z,-0.1133599728,9.383154869,2.775674343,0.1194426864,-0.08388951421,0.001331579522
14:38:17.974Z,0.02213360928,9.660123825,2.594118834,0.127165854,-0.1099884734,0.009587372653
14:38:17.995Z,-0.03170489892,9.72353363,2.639881611,0.1459411234,-0.04127896577,-2.66E-04
14:38:18.023Z,-0.008374879137,9.591928482,2.621337175,0.1564605981,-0.0392815955,0.006391582079
14:38:18.043Z,-0.03798605874,9.410672188,2.540878534,0.164050594,-0.06964161247,0.01544632297
14:38:18.054Z,-0.09870393574,9.086444855,2.543271303,0.1928127259,-0.08721846342,0.03302317113
14:38:18.074Z,0.06221338734,8.98056221,2.741277456,0.2415485233,-0.0657800287,0.03595264629
14:38:18.114Z,0.2318046987,8.655437469,2.845664263,0.3880222738,-0.06538055837,0.02303632535
14:38:18.143Z,0.185144648,8.381459236,3.020340443,0.5314334035,-0.0657800287,-0.03994738683
14:38:18.163Z,-0.07178468257,8.640482903,2.344966173,0.6131923795,-0.06378266215,-0.05392897129
14:38:18.174Z,-0.128614217,8.624929428,2.104188442,0.6548708081,-0.1000016257,-0.03049317189
14:38:18.193Z,0.1393819153,8.686544418,2.298007011,0.7225150466,-0.04727107286,0.003728422802
14:38:18.213Z,0.4462614357,8.858229637,2.458027124,0.825712502,0.07896266878,0.01398158539
14:38:18.223Z,0.2991028428,9.171390533,2.102992058,0.9803088903,0.1382179558,0.0418115966
14:38:18.242Z,0.2464607358,9.392725945,1.620239973,1.082440972,0.1376853287,0.06444845349
14:38:18.262Z,0.1447657645,9.620642662,1.356132269,1.133706808,0.1419463754,0.05819002539
14:38:18.293Z,-0.8578268886,9.976574898,0.1052841991,1.014929891,0.1938779801,0.02210422046
14:38:18.313Z,-1.210768223,9.716654778,-0.004486542661,0.8335688114,0.18069534,0.1019989923
14:38:18.343Z,0.6478567123,9.736394882,1.042074203,0.6969487667,0.1255679578,0.1886848211
14:38:18.372Z,0.7477570772,9.617053032,0.7627122402,0.7874961495,-0.07137266546,0.02077264152
14:38:18.392Z,-0.7980063558,9.569196701,1.272682548,0.8793751597,-0.03834949061,0.06018739566
14:38:18.412Z,-1.16769743,9.391230583,0.7878368497,0.9628651738,0.03422159329,0.1652490199
14:38:18.422Z,-0.1205384433,9.400203705,-0.007477570791,0.9564735889,0.09400951862,0.2371543199
14:38:18.462Z,0.7555337548,9.599406242,0.684646368,0.9563404322,0.01424790081,0.09454214573
14:38:18.472Z,0.3092723191,9.557830811,-0.1277169138,1.048352599,-0.08215846121,0.02316948399
14:38:18.492Z,-0.5117649436,9.738189697,-0.9658030272,0.9933583736,-0.06977476925,-0.01451421715
14:38:18.512Z,-0.8685946465,9.641579628,-0.6918248534,0.9435572624,-0.0898816213,0.0209057983
14:38:18.541Z,0.6514459848,9.419047356,-0.537786901,1.303749561,0.002530001104,0.06058686972
14:38:18.561Z,0.5324030519,9.624231339,-2.183749676,1.351686358,-0.0141147431,0.006391582079
14:38:18.590Z,1.393819213,12.01795197,-3.520141125,0.8823046088,-0.1637842804,-0.08428898454
14:38:18.630Z,0.3738785386,12.63858986,-3.108575821,0.7238466144,-0.2685796022,-0.1729721874
14:38:18.641Z,-0.9508479238,12.40110207,-4.121636868,0.6595313549,0.03661843762,-0.08921582997
14:38:18.661Z,-0.55154562,11.85553932,-4.150351048,0.5464802384,0.1274321675,0.1065263674
14:38:18.689Z,1.374676585,11.68056393,-4.681258202,0.4906870723,0.1784316599,0.2134522051
14:38:18.709Z,0.8925228715,11.99462128,-5.421836853,0.4711128473,0.2366216928,0.2083922029
14:38:18.730Z,-0.2362912297,12.38345528,-5.171188831,0.234224841,0.09307741374,0.2330264151
14:38:18.758Z,0.1908276081,13.39502144,-5.21994257,0.127165854,0.1532648057,0.3480748832
